version,classpath,LOC,LOC_TOUCHED,REVS,FIXES,AUTH,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,CHURN,MAX_CHURN,AVG_CHURN,CHANGE_SET_SIZE,MAX_CHANGE_SET,AVG_CHANGE_SET,AGE,WEIGHTED_AGE,COMMENT_LINES,NESTING_DEPTH,DECISION_POINTS,nsmells,DISTINCT_SMELL_TYPES,BUGGY
"1.2.0","src/java/org/apache/avro/specific/SpecificCompiler.java",255,326,3,2,2,174,171,58.000000,22,21,7.333333,477,110,25.105263,396,342.158730,38,4,71,"21",6,"YES"
"1.2.0","src/java/org/apache/avro/specific/SchemaTask.java",8,4,1,0,1,2,2,2.000000,0,0,0.000000,316,110,52.666667,396,387.410526,18,0,0,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/specific/ProtocolTask.java",46,32,1,0,1,3,3,3.000000,26,26,26.000000,316,110,52.666667,396,377.070988,22,2,6,"7",5,"NO"
"1.2.0","src/java/org/apache/avro/reflect/ReflectResponder.java",65,33,1,0,1,2,2,2.000000,29,29,29.000000,462,110,38.500000,396,378.047511,21,2,6,"8",3,"YES"
"1.2.0","src/java/org/apache/avro/reflect/ReflectRequestor.java",73,4,1,0,1,1,1,1.000000,2,2,2.000000,402,110,40.200000,396,374.307190,21,1,1,"3",3,"NO"
"1.2.0","src/java/org/apache/avro/reflect/ReflectDatumWriter.java",40,8,1,3,1,8,8,8.000000,8,8,8.000000,492,110,30.750000,396,362.600629,21,1,1,"0",0,"YES"
"1.2.0","src/java/org/apache/avro/reflect/ReflectDatumReader.java",64,31,1,2,1,7,7,7.000000,17,17,17.000000,425,110,35.416667,396,375.646570,22,1,6,"1",1,"YES"
"1.2.0","src/java/org/apache/avro/reflect/ReflectData.java",274,90,1,1,1,70,70,70.000000,50,50,50.000000,467,110,33.357143,396,357.530253,52,13,71,"38",9,"YES"
"1.2.0","src/java/org/apache/avro/reflect/FixedSize.java",12,0,0,1,0,0,0,0.000000,0,0,0.000000,315,110,52.500000,396,376.182609,22,0,0,"0",0,"NO"
"1.2.0","src/java/org/apache/avro/ipc/Transceiver.java",16,0,0,0,0,0,0,0.000000,0,0,0.000000,310,110,62.000000,396,390.818898,18,0,0,"1",1,"NO"
"1.2.0","src/java/org/apache/avro/ipc/SocketTransceiver.java",65,16,1,0,1,9,9,9.000000,2,2,2.000000,325,110,54.166667,396,383.349481,21,2,6,"2",1,"NO"
"1.2.0","src/java/org/apache/avro/ipc/SocketServer.java",74,4,1,0,1,2,2,2.000000,0,0,0.000000,351,110,50.142857,396,386.000000,18,2,6,"6",4,"YES"
